发生日期,基金编号,基金名称,证券代码,证券名称,委托方向,成交数量,成交金额,成交次数,成交均价,成交最低价,成交最高价,市场成交均价,最新价,数量成交比例(%),持仓,市场成交金额,成交均价(全价),交易市场,市场成交数量,组合编号,组合名称,委托数量,市场最高价,市场最低价,委托次数,交易员,资产类别,涨跌幅(%),金额成交比例(%),价格差额比例(%),指令数量,资产单元序号,资产单元名称,币种,交易席位,投资类型,资产单元编号,股东代码,成交量占昨日持仓量(%),指令下达人,本币币种,本币成交金额,指令操作级别,账户组类型,账户组,成交金额占净值(%),券商编号,券商名称,业务分类
2012-12-10,1,德邦优化配置,600292,九龙电力,买入,1200,13248,1,11.04,11.04,11.04,11.04,11.1,0.0375,1200,35351579,11.04,上交所A,3202292,10000000,缺省组合,100000,11.19,10.94,10,罗韵峰,股票资产,0.726,0.0375,-0.0045,100000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,13248,无, , ,0.0093,,,交易所业务
2012-12-10,1,德邦优化配置,600563,法拉电子,买入,100000,1308354,49,13.08354,13.05,13.12,13.14,13.13,5.2346,257601,25100822,13.08354,上交所A,1910364,10000000,缺省组合,100000,13.24,13.05,23,罗韵峰,股票资产,0.7675,5.2124,0.4247,100000,1,缺省单元,人民币,24978,可交易,1,N/A,63.45137404,白仲光-基金经理,人民币,1308354,无, , ,0.9181,,,交易所业务
2012-12-10,1,德邦优化配置,600884,杉杉股份,买入,100000,863288,16,8.63288,8.6,8.65,8.67,8.75,2.4481,399956,35419661,8.63288,上交所A,4084746,10000000,缺省组合,100000,8.76,8.55,15,罗韵峰,股票资产,1.1561,2.4373,0.4417,100000,1,缺省单元,人民币,24978,可交易,1,N/A,33.33822294,白仲光-基金经理,人民币,863288,无, , ,0.6058,,,交易所业务
2012-12-10,1,德邦优化配置,002672,东江环保,买入,33000,1730935,7,52.45257576,52.35,52.5,52.7,52.93,11.3823,73000,15280007.46,52.45257576,深交所A,289923,10000000,缺省组合,60000,53.25,52.32,17,罗韵峰,股票资产,0.0567,11.3281,0.4764,60000,1,缺省单元,人民币,391852,可交易,1,N/A,82.5,白仲光-基金经理,人民币,1730935,无, , ,1.2146,,,交易所业务
2012-12-10,1,德邦优化配置,300145,南方泵业,买入,196728,3421127.69,134,17.39014116,17.19,17.6,17.53,17.65,11.2025,388700,30781234.57,17.39014116,深交所A,1756114,10000000,缺省组合,199883,17.75,17.1,82,罗韵峰,股票资产,1.5535,11.1143,0.7867,200000,1,缺省单元,人民币,391852,可交易,1,N/A,102.4774446,白仲光-基金经理,人民币,3421127.69,无, , ,2.4006,,,交易所业务
2012-12-10,3,德邦佰睿吉1号,601166,兴业银行,买入,500000,7058549.6,111,14.1170992,14.11,14.13,14.17,14.18,0.3418,500000,2072786250,14.1170992,上交所A,146303204,30000000,缺省组合,500000,14.26,14.04,7,罗韵峰,股票资产,0.7102,0.3405,0.3572,500000,2,缺省单元,人民币,22420,可交易,77010500,N/A,0,余鹏举,人民币,7058549.6,无, , ,19.1385,,,交易所业务
2012-12-10,3,德邦佰睿吉1号,002690,美亚光电,买入,50000,999500,4,19.99,19.99,19.99,20.2,20.37,4.7365,351917,21323726.44,19.99,深交所A,1055626,30000000,缺省组合,50000,20.42,19.99,2,罗韵峰,股票资产,1.0417,4.6873,1.0401,90000,2,缺省单元,人民币,210301,可交易,77010500,N/A,16.56084288,余鹏举,人民币,999500,无, , ,2.7100,,,交易所业务
2012-12-11,1,德邦优化配置,600036,招商银行,卖出,100000,1094793,13,10.94793,10.93,10.96,10.98,10.99,0.1426,199935,770027826,10.94793,上交所A,70145022,10000000,缺省组合,100000,11.06,10.89,1,高继萍-交易员,股票资产,0.1823,0.1422,-0.2715,100000,1,缺省单元,人民币,24978,可交易,1,N/A,33.34055712,白仲光-基金经理,人民币,1094793,无, , ,0.7785,,,交易所业务
2012-12-11,1,德邦优化配置,600292,九龙电力,买入,400000,4393447.99,151,10.98361998,10.91,11,10.95,10.85,20.2939,401200,21582251,10.98361998,上交所A,1971039,10000000,缺省组合,400000,11.07,10.84,54,混合,股票资产,-2.2523,20.3568,-0.3096,400000,1,缺省单元,人民币,24978,可交易,1,N/A,33333.33333,白仲光-基金经理,人民币,4393447.99,无, , ,3.1243,,,交易所业务
2012-12-11,1,德邦优化配置,600376,首开股份,卖出,200000,2201926.56,38,11.0096328,11,11.05,11.1,11.1,2.3462,0,94632210,11.0096328,上交所A,8524584,10000000,缺省组合,200000,11.25,10.97,12,高继萍-交易员,股票资产,-0.8929,2.3268,-0.8242,200000,1,缺省单元,人民币,24978,可交易,1,N/A,100,白仲光-基金经理,人民币,2201926.56,无, , ,1.5659,,,交易所业务
